start_date,issue_date,estimated_work_cost,issued_permit_cost,building_type_description,building_category_description,work_nature
1994-05-16,1994-05-18,110000.0,380.0,Résidentiel,Permis ancien système,"EXPIRATION DU PERMIS 18 NOV. 1994., CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE DE DEUX ETAGES AVEC GARAGE, DOUBLE INTEGRE., CORRECTION SUR PLAN APPROUVE AVEC"
1997-08-06,1997-08-07,8500.0,34.0,Résidentiel,Permis ancien système,"RENOVATION INTERIEURE D'UNE RESI-, DENCE., CONVERTIR GARAGE EN CHAMBRE A COU-, CHER, MODIFIER PORTE DE GARAGE POUR, MUR AVEC FENETRES ET INSTALLER UNE"
1997-08-08,1997-09-24,1000.0,40.0,Résidentiel,Permis ancien système,"DEMOLITION D'UNE RESIDENCE DE 9.44m, X 14.02 m, RESIDENCE DE 1956 EN PIERRE, DEMOLI, POUR NOUVELLE CONSTRUCTION., LES REBUTS DEVRONT ETRE TRANSPORTE"
1997-08-08,1997-09-24,1000.0,40.0,Commercial,Permis ancien système,"DEMOLITION D'UNE GRANGE DE 9.44 m X, 11.88 m, BATIMENT EN ALUMINIUM DE 1956,, DEMOLI POUR CONSTRUIRE UN GARAGE., LES REBUTS DEVRONT ETRE TRANSPORTE"
1997-08-08,1997-09-24,150000.0,450.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE DE DEUX ETAGES., CORRECTIONS SUR PLANS APPROUVES, AVEC ANNEXE.DOIT ETRE CONFORME AU, C.N.B. 1990 ET AUX REGLEMENTS MUNI-"
1997-08-08,1997-09-24,25000.0,100.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UN GARAGE DETACHE DE, 21' X 21' SUR MURET DE BETON., DOIT ETRE CONFORME AU C.N.B. 1990, ET A L'ARTICLE 3.3.6.1. DU REG. 319, LE GARAGE DOIT ETRE ACCESSIBLE AUX"
1997-08-12,1997-08-18,26500.0,106.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE RALLONGE D'UN, ETAGE POUR RESIDENCE EXISTANTE., CORRECTIONS SUR PLAN APPROUVE AVEC, ANNEXE., DOIT ETRE CONFORME AU C.N.B.1990"
1997-08-14,1997-08-18,7000.0,28.0,Résidentiel,Permis ancien système,"RENOVATIONS INTERIEURES DE LA RESI-, DENCE EXISTANTE., FINIR SOUS-SOL: INSTALLATION D'UN, FAUX-PLANCHER, NOUVELLES DIVISIONS, ET PLAFOND EN GYPSE ET TUILES ACOUS"
1997-08-18,1997-09-04,200000.0,550.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE RALLONGE D'UN, ETAGE A L'AVANT ET A L'ARRIERE DE, LA RESIDENCE EXISTNATE., DOIT ETRE CONFORME AU C.N.B. 1990, ET AUX REGLEMENTS MUNICIPAUX."
1997-08-19,1997-08-26,350.0,25.0,Résidentiel,Permis ancien système,"RENOVATION EXTERIEUR: REMPLACER UNE, PORTE DE GARAGE EXISTANTE PAR UNE, PORTE EXTERIEUR., DOIT ETRE CONFORME AU C.N.B. 1990, ET AUX REGLEMENTS MUNICIPAUX."
1997-08-20,1997-08-25,110000.0,370.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE DE DEUX ETAGES AVEC GARAGE, SIMPLE INTEGRE., CORRECTION SUR PLAN APPROUVE AVEC, ANNEXE.DOIT ETRE CONFORME AU C.N.B."
1997-08-20,1997-08-26,2500.0,25.0,Résidentiel,Permis ancien système,"INSTALLATION D'UNE PISCINE HORS-, TERRE DE 18 '., DOIT ETRE CONFORME A L'ARTICLE, 3.3.4 DU REGLEMENT DE ZONAGE 319., LA PISCINE NE DOIT PAS ETRE ACCES-"
1997-08-22,1997-09-02,225000.0,575.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE DE DEUX ETAGES AVEC GARAGE, DOUBLE INTEGRE., CORRECTION SUR PLAN APPROUVE AVEC, ANNEXE.DOIT ETRE CONFORME AU C.N.B."
1997-08-25,1997-08-27,300000.0,650.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE RESIDENCE UNIFA-, MILIALE DE DEUX ETAGES AVEC GARAGE, DOUBLE INTEGRE., CORRECTION SUR PLAN APPROUVE AVEC, ANNEXE.DOIT ETRE CONFORME AU C.N.B."
1997-08-25,1997-09-08,30000.0,120.0,Résidentiel,Permis ancien système,"CONSTRUCTION D'UNE RALLONGE D'UN, ETAGE DE 11.97 X 6.55 M, CORRECTION SUR PLAN APPROUVE AVEC, ANNEXE.DOIT ETRE CONFORME AU C.N.B., 1990 ET AUX REGLEMENTS MUNICIPAUX."
